Taxa;Clade;Locomotion;Body mass (Kg);Body mass estimation;Reference;Early Interval;Late Interval;Max ma;Min ma
Ledumahadi_mafube;Sauropodomorpha;Quadrupedal;13308.3;calculated;McPhee et al. 2018;Hettangian;Sinemurian;200;195
Nhandumirim_waldsangae;Theropoda;Bipedal;3.6;calcualted;Marsola et al. 2019;Carnian;Carnian;233;233
Pendraig_milnerae;Theropoda;Bipedal;1.9;calculated;Spiekman et al. 2021;Norian;Rhaetian;214.7;201.3
Tuebingosaurus_maierfritzorum;Sauropodomorpha;Quadrupedal;1608.5;calculated;Regalado Fernàndez & Werneburg 2022;Norian;Rhaetian;227;201.3
Qianlong_shouhu;Sauropodomorpha;Bipedal;1404.5;calculated;Han et al. 2024;Hettangian;Toarian;201.3;174.7
Bagualosaurus_agudoensis;Sauropodomorpha;Bipedal;33.4;From Cashmore;Pretto et al. 2018. A new dinosaur (Saurischia: Sauropodomorpha) from the Late Triassic of Brazil provides insights on the evolution of sauropodomorph body plan. Zoological Journal of the Linnean Society, 1–29.;Carnian;Carnian;237;228.4
Buriolestes_schultzi;Sauropodomorpha;Bipedal;34;From Cashmore;Cabreira et al. 2016. A Unique Late Triassic Dinosauromorph Assemblage Reveals Dinosaur Ancestral Anatomy and Diet. Current Biology.;Carnian;Carnian;237;228.4
Eucnemesaurus_entaxonis;Sauropodomorpha;Bipedal;495;From Cashmore;McPhee et al. 2015: A second species of Eucnemesaurus Van Hoepen, 1920 (Dinosauria, Sauropodomorpha): new information on the diversity and evolution of the sauropodomorph fauna of South Africa's lower Elliot Formation (latest Triassic), Journal of Vertebrate Paleontology.;Norian;Rhaetian;227;201.3
Macrocollum_itaquii;Sauropodomorpha;Bipedal;115.3;From Cashmore;Muller et al. 2018. An exceptionally preserved association of complete dinosaur skeletons reveals the oldest long-necked sauropodomorphs. Biol. Lett. 14: 20180634;Norian;Norian;227;208.5
Meroktenos_thabanensis;Sauropodomorpha;Bipedal;353.2;From Cashmore;"Peyre de Fabrègues and Allain 2016. New material and revision of Melanorosaurus thabanensis, a basal sauropodomorph from the Upper Triassic of Lesotho. PeerJ 4:e1639; DOI 10.7717/peerj.1639";Norian;Rhaetian;227;201.3
Xingxiulong_chengi;Sauropodomorpha;Quadrupedal;1607.7;From Cashmore;Wang et al 2017. A new basal sauropodiform dinosaur from the Lower Jurassic of Yunnan Province, China. ;Hettangian;Hettangian;201.3;199.3
Yizhousaurus_sunae;Sauropodomorpha;Bipedal;1771.9;From Cashmore;Zhang et al. 2018. A new sauropodiform dinosaur with a ‘sauropodan’ skull from the Lower Jurassic Lufeng Formation of Yunnan Province, China. Scientific Reports,  8, 13464.;Sinemurian;Sinemurian;199.3;190.8
Yunnanosaurus_robustus;Sauropodomorpha;Quadrupedal;131;Calculated from Cashmore;Young. 1951. The Lufeng saurischian fauna in China. Palaeontologia Sinica, New Series C 13:1-96;Hettangian;Hettangian;201.3;199.3
Sanpasaurus_yaoi;Sauropodomorpha;Quadrupedal;3095.7;From Cashmore;McPhee et al 2016. A revision of Sanpasaurus yaoi Young, 1944 from the Early Jurassic of China, and its relevance to the early evolution of Sauropoda (Dinosauria). PeerJ, 4:e2578.;Toarcian;Toarcian;182.7;174.1
Anchisaurus_polyzelus;Sauropodomorpha;NA;235.6;From Benson;"YPM 208 (MTC; holotype of Ammosaurus major; referred to Anchisaurus polyzelus most recently by Yates 2010); Galton 1973";Hettangian;Sinemurian;201.4;199.5
Antetonitrus_ingenipes;Sauropodomorpha;NA;5639.7;From Benson;"BP/1/4952 (R. J. Butler pers. comm. 18 Nov 2011); association of material may be questionable (McPhee et al. 2014); Yates & Kitching 2003";Norian;Rhaetian;227;201.4
Camelotia_borealis;Sauropodomorpha;NA;3800.3;From Benson;"D. Parsons pers. comm. 30 May 2012 (femoral circumference); Galton 1998b; BMNH R2870-R2874, R2876-R2878, vertebrate, ribs, pelvis, hindlimb";Rhaetian;Rhaetian;208.5;201.4
Chromogisaurus_novasi;Sauropodomorpha;NA;13.1;From Benson;"Ezcurra 2010; PVSJ 845";Carnian;Carnian;237;227
Eucnemesaurus_fortis;Sauropodomorpha;NA;1429;From Benson;"BP/1/ 6234 (R. J. Butler pers. comm., 18 Nov 2011); Yates 2007; all four specimens lack the humerus; Yates 2007 reported ml shaft diameter = 92 mm, ap diameter = 83 mm in the holotype (TM 119)";Norian;Rhaetian;227;201.4
Isanosaurus_attavipachi;Sauropodomorpha;NA;3504.9;From Benson;"Buffetaut et al. 2000; CH4; femoral shaft dimensions measured from figure";Norian;Rhaetian;227;201.4
Jingshanosaurus_xinwaensis;Sauropodomorpha;NA;3105.9;From Benson;"Zhang & Yang 1994; LV 003";Hettangian;Sinemurian;201.4;192.9
Kotasaurus_yamanpalliensis;Sauropodomorpha;NA;5735.7;From Benson;"Yadagiri 1988; Yadagiri 2001 mentioned larger elements (FL =1390; HL=850), but did not provide more complete measurements";Hettangian;Toarcian;201.3;174.7
Lamplughsaura_dharmarensis;Sauropodomorpha;NA;1108.7;From Benson;"Kutty et al. 2007; ISI R257 (holotype, largest individual, and only individual with humeri and femora)";Sinemurian;Sinemurian;199.5;192.9
Lessemsaurus_sauropoides;Sauropodomorpha;NA;2113.6;From Benson;"Pol & Powell 2007; PVL 4822; 4822 ? 53 (humerus, possibly of smaller individual); PVL 4822 ? 64, 4822 ? 65 (femora); measured from figures and PDM (PVL 4822/65, /53)";Norian;Norian;227;208.5
Lufengosaurus_magnus;Sauropodomorpha;NA;2259;From Benson;"Young 1947; IVPP V82";Hettangian;Sinemurian;201.4;192.9
Massospondylus_carinatus;Sauropodomorpha;NA;487.7;From Benson;"BP/1/4934 (NC) (neotype; Yates & Barrett 2010)";Hettangian;Sinemurian;201.4;192.9
